
 mi.net.adj.matrix.wt = 

            v1 v2         v3         v4          v5 v6        v7         v8 v9
v62  0.0000000  0 2.58814903 0.85540771 0.799718372  0 0.0000000 0.00000000  0
v63  0.0000000  0 2.58814903 0.85540771 0.799718372  0 0.0000000 0.00000000  0
v64  0.1652841  0 0.00000000 2.95927983 0.000000000  0 0.1652841 1.26325424  0
v65  0.0000000  0 0.00000000 0.00000000 1.190208667  0 0.0000000 0.00000000  0
v66  0.0000000  0 0.19869664 0.00000000 0.000000000  0 0.0000000 2.57672798  0
v67  0.0000000  0 0.60086496 0.06850412 2.796616274  0 0.0000000 0.59613575  0
v68  4.1612490  0 0.00000000 0.06850412 0.000000000  0 4.1612490 0.00000000  0
v69  0.0000000  0 0.00000000 0.00000000 0.000000000  0 0.0000000 0.00000000  0
v70  0.3029278  0 0.00000000 0.00000000 3.747591038  0 0.3029278 1.66682004  0
v71  0.0000000  0 0.60086496 0.06850412 2.796616274  0 0.0000000 0.59613575  0
v72  0.0000000  0 0.00000000 0.00000000 0.000000000  0 0.0000000 0.04014779  0
v73  0.1683481  0 0.00000000 0.00000000 3.244388472  0 0.1683481 1.44619043  0
v74  0.0000000  0 0.00000000 0.00000000 0.000000000  0 0.0000000 0.00000000  0
v75  3.8549450  0 0.00000000 0.00000000 0.226161555  0 3.8549450 1.58907536  0
v76  0.2531099  0 2.77510045 0.86003790 0.903120998  0 0.2531099 0.00000000  0
v77  0.0000000  0 0.00000000 0.00000000 0.000000000  0 0.0000000 0.04014779  0
v78  0.2673975  0 0.00000000 0.00000000 0.000000000  0 0.2673975 0.00000000  0
v79  0.1652841  0 0.00000000 2.95927983 0.000000000  0 0.1652841 1.26325424  0
v80  1.4304055  0 0.00000000 0.89608407 0.000000000  0 1.4304055 0.00000000  0
v81  0.1652841  0 0.00000000 2.95927983 0.000000000  0 0.1652841 1.26325424  0
v82  0.0000000  0 0.00000000 0.00000000 0.000000000  0 0.0000000 0.04014779  0
v83  0.1652841  0 0.00000000 2.95927983 0.000000000  0 0.1652841 1.26325424  0
v84  3.9289623  0 0.92898106 0.06850412 3.468211665  0 3.9289623 0.67425347  0
v85  0.0000000  0 0.00000000 0.00000000 0.000000000  0 0.0000000 0.00000000  0
v86  0.0000000  0 0.00000000 0.00000000 1.190208667  0 0.0000000 0.00000000  0
v87  0.0000000  0 0.00000000 0.00000000 0.000000000  0 0.0000000 0.00000000  0
v88  0.3029278  0 0.00000000 0.00000000 3.747591038  0 0.3029278 1.66682004  0
v89  0.0000000  0 0.60086496 0.06850412 2.796616274  0 0.0000000 0.59613575  0
v90  0.0000000  0 0.00000000 0.00000000 0.000000000  0 0.0000000 0.00000000  0
v91  1.1902087  0 0.00000000 0.00000000 0.000000000  0 1.1902087 4.26778092  0
v92  0.0000000  0 1.13759030 0.06850412 0.000000000  0 0.0000000 0.00000000  0
v93  0.0000000  0 0.00000000 0.00000000 0.000000000  0 0.0000000 0.00000000  0
v94  0.0000000  0 0.00000000 0.00000000 0.000000000  0 0.0000000 0.04014779  0
v95  0.0000000  0 0.00000000 0.00000000 1.572911678  0 0.0000000 0.48377242  0
v96  0.0000000  0 0.00000000 0.00000000 0.000000000  0 0.0000000 0.00000000  0
v97  0.0000000  0 0.00000000 0.00000000 0.000000000  0 0.0000000 0.00000000  0
v98  0.8469122  0 0.00000000 0.00000000 0.000000000  0 0.8469122 0.00000000  0
v99  0.0000000  0 2.58814903 0.85540771 0.799718372  0 0.0000000 0.00000000  0
v100 0.0000000  0 2.58814903 0.85540771 0.799718372  0 0.0000000 0.00000000  0
v101 0.1652841  0 0.00000000 2.95927983 0.000000000  0 0.1652841 1.26325424  0
v102 0.6099160  0 0.44611700 0.00000000 1.634177651  0 0.6099160 5.27408620  0
v103 0.0000000  0 2.58814903 0.85540771 0.799718372  0 0.0000000 0.00000000  0
v104 0.0000000  0 0.60086496 0.06850412 2.796616274  0 0.0000000 0.59613575  0
v105 0.0000000  0 0.00000000 0.00000000 0.000000000  0 0.0000000 0.00000000  0
v106 0.0000000  0 0.60086496 0.06850412 2.796616274  0 0.0000000 0.59613575  0
v107 0.0000000  0 0.68014642 0.06850412 0.000000000  0 0.0000000 0.00000000  0
v108 0.0000000  0 0.60086496 0.06850412 2.796616274  0 0.0000000 0.59613575  0
v109 0.2531099  0 2.77510045 0.86003790 0.903120998  0 0.2531099 0.00000000  0
v110 0.0000000  0 0.00000000 0.00000000 0.000000000  0 0.0000000 0.00000000  0
v111 1.0943719  0 0.00000000 0.00000000 0.000000000  0 1.0943719 0.20557602  0
v112 0.1683481  0 0.00000000 0.00000000 3.244388472  0 0.1683481 1.44619043  0
v113 0.3353755  0 0.12168072 0.00000000 0.000000000  0 0.3353755 0.00000000  0
v114 0.0000000  0 5.14491175 1.36295605 0.000000000  0 0.0000000 0.00000000  0
v115 0.0000000  0 2.58814903 0.85540771 0.799718372  0 0.0000000 0.00000000  0
v116 0.6955634  0 0.03324671 0.00000000 0.000000000  0 0.6955634 0.00000000  0
v117 0.1683481  0 0.00000000 0.00000000 3.244388472  0 0.1683481 1.44619043  0
v118 0.0000000  0 0.00000000 0.00000000 0.000000000  0 0.0000000 0.00000000  0
v119 0.0000000  0 0.60086496 0.06850412 2.796616274  0 0.0000000 0.59613575  0
v120 0.2673975  0 0.00000000 0.00000000 0.000000000  0 0.2673975 0.00000000  0
v121 0.0000000  0 0.00000000 0.00000000 0.008096516  0 0.0000000 0.00000000  0
v122 0.0000000  0 2.58814903 0.85540771 0.799718372  0 0.0000000 0.00000000  0
v123 0.0000000  0 0.00000000 0.00000000 0.000000000  0 0.0000000 0.04014779  0
v124 0.0000000  0 2.58814903 0.85540771 0.799718372  0 0.0000000 0.00000000  0
v125 0.0000000  0 0.00000000 0.00000000 0.000000000  0 0.0000000 0.00000000  0
v126 0.3267487  0 0.10967353 0.00000000 0.000000000  0 0.3267487 0.00000000  0
v127 3.8338240  0 0.00000000 0.00000000 0.230738449  0 3.8338240 0.00000000  0
v128 0.2673975  0 0.00000000 0.00000000 0.000000000  0 0.2673975 0.00000000  0
v129 0.0000000  0 0.00000000 0.00000000 1.379184933  0 0.0000000 0.38319881  0
v130 0.5517881  0 0.00000000 0.00000000 0.000000000  0 0.5517881 0.00000000  0
v131 4.2664025  0 0.00000000 0.06850412 0.000000000  0 4.2664025 0.00000000  0
v132 0.3029278  0 0.00000000 0.00000000 3.747591038  0 0.3029278 1.66682004  0
v133 0.0000000  0 0.62502005 0.06850412 0.000000000  0 0.0000000 0.00000000  0
v134 1.0943719  0 0.00000000 0.00000000 0.000000000  0 1.0943719 0.20557602  0
v135 0.1652841  0 0.00000000 2.95927983 0.000000000  0 0.1652841 1.26325424  0
v136 1.0943719  0 0.00000000 0.00000000 0.000000000  0 1.0943719 0.20557602  0
v137 1.6655227  0 0.29593099 0.00000000 0.397355791  0 1.6655227 0.00000000  0
v138 0.0000000  0 1.73847077 0.23563205 0.000000000  0 0.0000000 1.15063543  0
v139 0.0000000  0 0.00000000 0.00000000 0.000000000  0 0.0000000 0.00000000  0
v140 0.0000000  0 2.58814903 0.85540771 0.799718372  0 0.0000000 0.00000000  0
v141 0.0000000  0 2.58814903 0.85540771 0.799718372  0 0.0000000 0.00000000  0
v142 0.2531099  0 2.77510045 0.86003790 0.903120998  0 0.2531099 0.00000000  0
v143 0.0000000  0 0.00000000 0.00000000 0.000000000  0 0.0000000 0.00000000  0
v144 0.0000000  0 2.58814903 0.85540771 0.799718372  0 0.0000000 0.00000000  0
v145 0.0000000  0 0.00000000 0.00000000 0.000000000  0 0.0000000 0.00000000  0
v146 0.0000000  0 0.60086496 0.06850412 2.796616274  0 0.0000000 0.59613575  0
